URL,Fiyat,Oda Sayısı,Brüt m2,Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,İlan No
https://www.hepsiemlak.com/antalya-kepez-demirel-satilik/daire/102778-671,5.149.000 TL,3 + 1,140 m2,5 Katlı,1. Kat,1 Yaşında,Klima,102778-671
https://www.hepsiemlak.com/antalya-kepez-gocerler-satilik/daire/69254-4841,9.000.000 TL,2 + 1,100 m2,6 Katlı,2. Kat,1 Yaşında,Klima,69254-4841
https://www.hepsiemlak.com/antalya-kepez-gocerler-satilik/daire/144523-520,6.400.000 TL,3 + 1,140 m2,5 Katlı,1. Kat,Sıfır Bina,Klima,144523-520
https://www.hepsiemlak.com/antalya-konyaalti-uncali-satilik/daire/16141-8633,9.600.000 TL,2 + 1,125 m2,4 Katlı,2. Kat,1 Yaşında,Kombi,16141-8633
https://www.hepsiemlak.com/antalya-kepez-gunes-satilik/daire/141942-186,3.700.000 TL,5 + 1,180 m2,5 Katlı,En Üst Kat,15 Yaşında,Klima,141942-186
https://www.hepsiemlak.com/antalya-kepez-safak-satilik/daire/139236-426,3.050.000 TL,2 + 1,90 m2,3 Katlı,Yüksek Giriş,11 Yaşında,Klima,139236-426
https://www.hepsiemlak.com/antalya-kepez-aydogmus-satilik/daire/162578-83,2.424.999 TL,1 + 1,48 m2,2 Katlı,2. Kat,Sıfır Bina,Klima,162578-83
https://www.hepsiemlak.com/antalya-konyaalti-gursu-satilik/daire/162354-51,7.000.000 TL,1 + 1,80 m2,6 Katlı,Yüksek Giriş,15 Yaşında,Kombi,162354-51
https://www.hepsiemlak.com/antalya-kepez-cankaya-satilik/daire/65907-5439,5.100.000 TL,2 + 1,100 m2,6 Katlı,Ara Kat,Sıfır Bina,Klima,65907-5439
https://www.hepsiemlak.com/antalya-kepez-dudenbasi-satilik/daire/129965-823,4.150.000 TL,1 + 1,65 m2,5 Katlı,1. Kat,Sıfır Bina,Kombi,129965-823
https://www.hepsiemlak.com/antalya-kepez-aydogmus-satilik/daire/162633-21,3.490.000 TL,2 + 1,100 m2,3 Katlı,2. Kat,1 Yaşında,Isıtma Yok,162633-21
https://www.hepsiemlak.com/antalya-kepez-esentepe-satilik/daire/148308-24,5.500.000 TL,5 + 1,230 m2,3 Katlı,3. Kat,1 Yaşında,Klima,148308-24
https://www.hepsiemlak.com/antalya-kepez-zeytinlik-satilik/daire/53381-6418,5.500.000 TL,4 + 1,155 m2,5 Katlı,5. Kat,Sıfır Bina,Klima,53381-6418
https://www.hepsiemlak.com/antalya-kepez-yeni-satilik/daire/162582-95,2.699.999 TL,1 + 1,50 m2,4 Katlı,Yüksek Giriş,1 Yaşında,Isıtma Yok,162582-95
https://www.hepsiemlak.com/antalya-kepez-ayanoglu-satilik/daire/34329-4369,3.599.000 TL,2 + 1,110 m2,3 Katlı,1. Kat,Sıfır Bina,Klima,34329-4369
https://www.hepsiemlak.com/antalya-kepez-ayanoglu-satilik/daire/76239-1314,3.750.000 TL,2 + 1,105 m2,3 Katlı,3. Kat,Sıfır Bina,Klima,76239-1314
https://www.hepsiemlak.com/antalya-kepez-gunes-satilik/daire/131362-972,2.150.000 TL,1 + 0,45 m2,3 Katlı,1. Kat,18 Yaşında,Klima,131362-972
https://www.hepsiemlak.com/antalya-kepez-aydogmus-satilik/daire/34616-3407,2.099.000 TL,1 + 1,60 m2,2 Katlı,Yüksek Giriş,2 Yaşında,Kat Kaloriferi,34616-3407
https://www.hepsiemlak.com/antalya-muratpasa-caglayan-satilik/daire/36064-6102,8.650.000 TL,3 + 1,155 m2,4 Katlı,Zemin,11 Yaşında,Kombi,36064-6102
https://www.hepsiemlak.com/antalya-kepez-altinova-orta-satilik/daire/147879-176,2.900.000 TL,2 + 1,90 m2,2 Katlı,Giriş Katı,5 Yaşında,Klima,147879-176
https://www.hepsiemlak.com/antalya-kepez-kanal-satilik/daire/117205-1136,4.950.000 TL,2 + 1,100 m2,3 Katlı,Ara Kat,Sıfır Bina,Yerden Isıtma,117205-1136
https://www.hepsiemlak.com/antalya-kepez-selale-satilik/daire/72631-1994,3.850.000 TL,2 + 1,95 m2,5 Katlı,1. Kat,Sıfır Bina,Klima,72631-1994
https://www.hepsiemlak.com/antalya-kepez-esentepe-satilik/daire/158650-17,2.990.000 TL,1 + 1,60 m2,5 Katlı,4. Kat,Sıfır Bina,Kombi,158650-17
